w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,P1_Tx_W
50.0,1.0,5.8,3.2,15.2,28.0,0.0,0.51,14.0,31.0,0.14,0.07,2.0,17.0,0.07,0.07,0.1,0.38,1.6,1.5,4.8,4.9,6.0,17.0,4.0,3.7,0.5,0.8,0.48,1.4,6.54639950361862
14.0,5.8,4.6,15.2,18.8,22.0,0.0,0.51,14.0,22.0,0.175,0.03,2.0,35.0,0.175,0.03,0.1,0.17,2.2,2.4,4.0,4.8,19.0,1.0,1.1,3.6,0.9,4.4,1.76,2.9,3.38588114891724
33.2,9.4,8.2,18.8,16.4,53.2,0.0,0.5,14.0,23.0,0.175,0.06,2.0,17.0,0.105,0.03,0.1,0.46,0.8,2.4,3.6,4.2,16.0,30.0,3.5,4.5,2.5,0.9,0.57,3.0,4.90984713753518
34.4,5.8,2.2,11.6,22.4,44.8,0.0,0.51,14.0,32.0,0.14,0.03,2.0,26.0,0.175,0.02,0.1,0.28,1.1,1.0,4.8,4.3,24.0,24.0,0.5,3.3,4.9,4.2,0.62,3.3,4.37438690620713
15.2,5.8,3.4,6.8,14.0,10.0,0.0,0.5,14.0,30.0,0.175,0.04,2.0,12.0,0.035,0.01,0.1,0.22,1.0,3.6,3.3,5.0,21.0,25.0,2.8,2.5,3.1,0.1,0.74,1.4,4.04684892053035
30.8,1.0,9.4,4.4,17.6,8.8,0.0,0.51,14.0,31.0,0.07,0.07,2.0,9.0,0.175,0.06,0.1,0.37,1.4,1.3,4.8,3.2,8.0,22.0,1.7,0.1,4.4,1.1,0.74,2.1,6.17107031979091
51.2,2.2,8.2,12.8,12.8,52.0,0.0,0.51,14.0,30.0,0.105,0.09,2.0,16.0,0.07,0.07,0.1,0.37,1.3,3.6,4.8,4.2,21.0,4.0,2.4,3.9,0.4,3.7,1.03,1.7,6.19852794615538
18.8,1.0,1.0,22.4,11.6,18.4,0.0,0.51,14.0,26.0,0.105,0.01,2.0,34.0,0.175,0.06,0.1,0.39,1.3,0.8,3.0,3.7,10.0,29.0,3.0,2.3,4.9,0.1,0.39,1.2,7.22168976287255
18.8,8.2,3.4,24.8,5.6,16.0,0.0,0.51,14.0,33.0,0.14,0.04,2.0,27.0,0.07,0.06,0.1,0.33,0.7,0.3,1.9,2.2,27.0,29.0,3.7,1.9,0.8,2.5,0.18,1.0,10.6518828348745
35.6,4.6,5.8,12.8,5.6,52.0,0.0,0.5,14.0,19.0,0.175,0.07,2.0,19.0,0.175,0.06,0.1,0.18,0.6,1.7,2.8,2.0,7.0,9.0,2.0,1.3,1.9,4.0,0.3,1.3,12.766218516626
33.2,2.2,7.0,4.4,12.8,50.8,0.0,0.51,14.0,17.0,0.035,0.02,2.0,16.0,0.105,0.06,0.1,0.34,1.4,1.3,2.7,3.3,2.0,13.0,0.9,3.6,1.2,1.9,0.11,1.6,6.06259361829212
