w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,B_mean_right_T
50.0,1.0,5.8,3.2,15.2,28.0,0.0,0.51,14.0,31.0,0.14,0.07,2.0,17.0,0.07,0.07,0.1,0.38,1.6,1.5,4.8,4.9,6.0,17.0,4.0,3.7,0.5,0.8,0.48,1.4,0.182111766922141
45.2,8.2,7.0,12.8,21.2,35.2,0.0,0.51,14.0,31.0,0.105,0.01,2.0,22.0,0.07,0.07,0.1,0.29,2.7,3.6,4.2,2.5,10.0,9.0,4.0,0.9,1.7,4.9,0.12,2.3,0.0293883168682772
14.0,5.8,4.6,15.2,18.8,22.0,0.0,0.51,14.0,22.0,0.175,0.03,2.0,35.0,0.175,0.03,0.1,0.17,2.2,2.4,4.0,4.8,19.0,1.0,1.1,3.6,0.9,4.4,1.76,2.9,0.124756530171802
33.2,9.4,8.2,18.8,16.4,53.2,0.0,0.5,14.0,23.0,0.175,0.06,2.0,17.0,0.105,0.03,0.1,0.46,0.8,2.4,3.6,4.2,16.0,30.0,3.5,4.5,2.5,0.9,0.57,3.0,0.0333731772385255
34.4,5.8,2.2,11.6,22.4,44.8,0.0,0.51,14.0,32.0,0.14,0.03,2.0,26.0,0.175,0.02,0.1,0.28,1.1,1.0,4.8,4.3,24.0,24.0,0.5,3.3,4.9,4.2,0.62,3.3,0.0571980051973316
15.2,5.8,3.4,6.8,14.0,10.0,0.0,0.5,14.0,30.0,0.175,0.04,2.0,12.0,0.035,0.01,0.1,0.22,1.0,3.6,3.3,5.0,21.0,25.0,2.8,2.5,3.1,0.1,0.74,1.4,0.131618174038574
51.2,2.2,8.2,12.8,12.8,52.0,0.0,0.51,14.0,30.0,0.105,0.09,2.0,16.0,0.07,0.07,0.1,0.37,1.3,3.6,4.8,4.2,21.0,4.0,2.4,3.9,0.4,3.7,1.03,1.7,0.0839191194059102
18.8,8.2,3.4,24.8,5.6,16.0,0.0,0.51,14.0,33.0,0.14,0.04,2.0,27.0,0.07,0.06,0.1,0.33,0.7,0.3,1.9,2.2,27.0,29.0,3.7,1.9,0.8,2.5,0.18,1.0,0.0756208412675249
35.6,4.6,5.8,12.8,5.6,52.0,0.0,0.5,14.0,19.0,0.175,0.07,2.0,19.0,0.175,0.06,0.1,0.18,0.6,1.7,2.8,2.0,7.0,9.0,2.0,1.3,1.9,4.0,0.3,1.3,0.0655106359883349
33.2,2.2,7.0,4.4,12.8,50.8,0.0,0.51,14.0,17.0,0.035,0.02,2.0,16.0,0.105,0.06,0.1,0.34,1.4,1.3,2.7,3.3,2.0,13.0,0.9,3.6,1.2,1.9,0.11,1.6,0.13148322778854
